"","none","0.02","0.03","0.05","0.10","0.25","0.50","days","Markets (53)","Market (Saquisili)","Market (Asogan)","Premises (each province)","Collectors (10)","All degree (10)","Page rank (10)"
"20",0.523728216675382,0.251197882762227,0.257099256192173,0.232714738493389,0.221381540333166,0.156871951935288,0.0904414824933036,19,0.0587682883882741,0.0696319378488267,0.0702829030915513,0.0594299251923549,0.069503879112553,0.0624499770561431,0.0589817196153969
"21",0.524453882847599,0.259372298761032,0.265401730927252,0.240462292037948,0.228840961721109,0.16128997833673,0.0920315451353688,20,0.059291194894725,0.0707737949139339,0.0711152848773304,0.060112905119148,0.0703255893369759,0.0630262413693747,0.0595686554899847
"22",0.524955446231338,0.267589401005261,0.27370420566233,0.247761640005549,0.23622568217956,0.165825391913091,0.0938990683726936,21,0.0598247729625321,0.0715634904542884,0.071990352908534,0.0606251400642428,0.0712860298590287,0.0636238488053187,0.0600808904350796
"23",0.525179549019817,0.274888748972862,0.281611832627232,0.254794198939247,0.242916751149861,0.169880585228425,0.0954784594534026,22,0.0603476794689831,0.0726093034671903,0.0729721365532991,0.0610520025184885,0.0721931125743007,0.0642214562412627,0.0606464831869551
"24",0.525467681176433,0.282604287833353,0.289594160521626,0.261752056943451,0.249671849488299,0.173989136350539,0.0969831496046187,23,0.0609346153435709,0.0734310136916132,0.0739752633207765,0.0614575218500219,0.0730254943600798,0.0648404067999189,0.061169389693406
"25",0.5256704408422,0.289668861451119,0.296936194734652,0.26842178279104,0.255882698197573,0.178151045279435,0.0985518691239715,24,0.0613614777978166,0.074391454213666,0.0749250322814731,0.0619270705496921,0.0739539201980642,0.0653633133063699,0.0616709530771447
"26",0.52586252894661,0.296765449752953,0.30416084177276,0.275134194884053,0.261538625716329,0.182227581717481,0.0999925299070507,25,0.0619057274269798,0.0753945809811433,0.075821443435389,0.0624286339334308,0.0747009294929941,0.0659715923036699,0.0622578889517325
"27",0.526043945489665,0.304075469281911,0.311033327286115,0.281419744522821,0.267333283532714,0.186058672244336,0.101593264110472,26,0.0624606486174992,0.0762483058896347,0.0766858399052365,0.0628661679490326,0.0755973406469101,0.0664944988101209,0.0628128101422519
"28",0.526129317980514,0.310990641040691,0.318172601833374,0.28781200977515,0.272925181683332,0.189622973737288,0.10306593957762,27,0.0629195257558133,0.0771660601662629,0.0776035941818647,0.0632396725964976,0.076419050871333,0.0670387484392841,0.0633250450873467
"29",0.526161332664582,0.318119244026594,0.325013072662661,0.293820098818658,0.278143575186486,0.193336677089225,0.104271826010864,28,0.0634317607009082,0.0779023978998367,0.0782545594245894,0.0636665350507433,0.0771020307981261,0.0677217283660772,0.0638906378392223
